Instance,Best,Average,Standard Deviation
i01,5217,5404.9,118.77
i02,2566,2703.9,86.23
i03,11535,11918.1,234.77
i04,4269,4406.5,104.68
i05,17839,18051.0,147.94
i06,11659,11776.2,80.54
i07,13230,14086.2,693.00
i08,14596,14881.6,188.79
i09,14455,15831.9,892.48
i10,32955,33379.0,280.91
i11,32479,33701.5,497.70
i12,18887,19170.9,174.15
i13,28879,30227.9,961.46
i14,19208,19608.4,347.84
i15,31820,32321.9,281.07
i16,21510,21716.2,102.17
i17,108385,111170.5,1253.09
i18,54259,54796.0,396.77
i19,76216,76710.4,395.66
i20,44924,45887.4,661.79
i21,55600,56429.3,512.15
i22,99055,101805.0,1450.30
i23,64186,64641.1,206.62
i24,46039,46866.8,487.62
i25,22901,23343.1,212.78
i26,137080,139351.8,1870.06
i27,160605,164903.9,3055.41
i28,93283,94091.2,363.75
i29,31205,33005.2,1379.12
i30,62724,63362.7,455.16
